# name
name;ASK-21 470kg
# mass in kg
mass;470
# min sink (m/s);
min_sink;0.657
# min sink at (km/h);
min_sink_at;68
# best glide ratio;
best_glide;33
# best glide at (km/h);
best_glide_at;95

airspeed (km/h);Sink rate (m/s)
62.29839;1.010735
62.90323;0.8422792
63.50807;0.7035508
63.70969;0.6886871
64.41533;0.6663915
65.62501;0.654005
67.33871;0.6515277
70.76614;0.654005
73.99194;0.6663915
77.31856;0.6763006
80.24194;0.6911644
85.38307;0.7258465
90.72581;0.7654831
97.07662;0.8249381
102.7218;0.9066887
107.0565;0.9686211
112.0968;1.07019
117.1371;1.169282
122.0766;1.285714
127.5202;1.421965
132.0565;1.543353
137.8024;1.716763
143.1452;1.887696
148.6895;2.080925
154.3347;2.289017
157.9637;2.435178
162.1976;2.618497
166.6331;2.804294
170.6653;2.995046
